result_id,pos.,pts,no,rider,Team,time / gap,session,class,event,year,event_id
110,DNF,0.0,24,S. Corsi,MV Agusta Forward Racing,4 laps,Race,Moto2,INA,2022,1
111,1,25.0,7,D. Foggia,Leopard Racing,38:51.668,Race,Moto3,INA,2022,1
112,2,20.0,28,I. Guevara,GASGAS Aspar Team,+2.612,Race,Moto3,INA,2022,1
113,3,16.0,99,C. Tatay,CFMOTO Racing PruestelGP,+3.639,Race,Moto3,INA,2022,1
114,4,13.0,11,S. Garcia,GASGAS Aspar Team,+3.759,Race,Moto3,INA,2022,1
115,5,11.0,53,D. Öncü,Red Bull KTM Tech3,+3.870,Race,Moto3,INA,2022,1
116,6,10.0,43,X. Artigas,CFMOTO Racing PruestelGP,+4.962,Race,Moto3,INA,2022,1
117,7,9.0,5,J. Masia,Red Bull KTM Ajo,+5.289,Race,Moto3,INA,2022,1
118,8,8.0,23,E. Bartolini,QJMotor Avintia Racing Team,+5.405,Race,Moto3,INA,2022,1
119,9,7.0,96,D. Holgado,Red Bull KTM Ajo,+5.533,Race,Moto3,INA,2022,1
120,10,6.0,24,T. Suzuki,Leopard Racing,+5.687,Race,Moto3,INA,2022,1
121,11,5.0,6,R. Yamanaka,MT Helmets - MSI,+16.286,Race,Moto3,INA,2022,1
122,12,4.0,27,K. Toba,CIP Green Power,+16.921,Race,Moto3,INA,2022,1
123,13,3.0,19,S. Ogden,VisionTrack Racing Team,+17.257,Race,Moto3,INA,2022,1
124,14,2.0,64,M. Suryo Aji,Honda Team Asia,+24.626,Race,Moto3,INA,2022,1
125,15,1.0,18,M. Bertelle,QJMotor Avintia Racing Team,+24.809,Race,Moto3,INA,2022,1
126,16,0.0,20,L. Fellon,SIC58 Squadra Corse,+31.522,Race,Moto3,INA,2022,1
127,17,0.0,54,R. Rossi,SIC58 Squadra Corse,+31.628,Race,Moto3,INA,2022,1
128,18,0.0,66,J. Kelso,CIP Green Power,+32.204,Race,Moto3,INA,2022,1
129,19,0.0,22,A. Carrasco,BOE Motorsports,+41.202,Race,Moto3,INA,2022,1
130,20,0.0,70,J. Whatley,VisionTrack Racing Team,+48.013,Race,Moto3,INA,2022,1
131,21,0.0,87,G. Riu Male,BOE Motorsports,+48.090,Race,Moto3,INA,2022,1
132,DNF,0.0,82,S. Nepa,Angeluss MTA Team,22 laps,Race,Moto3,INA,2022,1
133,DNF,0.0,16,A. Migno,Rivacold Snipers Team,22 laps,Race,Moto3,INA,2022,1
134,DNF,0.0,71,A. Sasaki,Sterilgarda Husqvarna Max,22 laps,Race,Moto3,INA,2022,1
135,DNF,0.0,67,A. Surra,Rivacold Snipers Team,17 laps,Race,Moto3,INA,2022,1
136,DNF,0.0,31,A. Fernandez,Red Bull KTM Tech3,10 laps,Race,Moto3,INA,2022,1
137,DNF,0.0,10,D. Moreira,MT Helmets - MSI,8 laps,Race,Moto3,INA,2022,1
138,DNF,0.0,48,I. Ortola,Angeluss MTA Team,7 laps,Race,Moto3,INA,2022,1
139,1,25.0,88,M. Oliveira,Red Bull KTM Factory Racing,33:27.223,Race,MotoGP,INA,2022,1
140,2,20.0,20,F. Quartararo,Monster Energy Yamaha MotoGP,+2.205,Race,MotoGP,INA,2022,1
141,3,16.0,5,J. Zarco,Prima Pramac Racing,+3.158,Race,MotoGP,INA,2022,1
142,4,13.0,43,J. Miller,Ducati Lenovo Team,+5.663,Race,MotoGP,INA,2022,1
